Identifikationsplastik,52.271427,8.042681
In Your Face,52.266662,8.059008
Industrie- und Kultur,52.317934,8.029118
Industriekultur am Jahnplatz,52.269833,8.03309
Infotafel 3 Berge Lechtingen,52.325131,8.024873
Insects And Flowers,52.269813,8.049941
Insektenhotel,52.279346,8.029188
International Varus ,52.258886,8.047855
Jakobusgemeinde,52.278768,8.099223
Jesus Portal,52.255988,8.086297
Jesuskreuz Oesede,52.208029,8.065032
Jesuskreuz am Haus Brinke,52.209906,8.088501
Justus W. Lyra Denkmal,52.269403,8.044359
Kapelle Am Heger Friedhof ,52.269262,8.001089
Kapelle Haus Ohrbeck,52.222752,8.00418
Kapelle Landvolkhochschule,52.210014,8.072384
Karmann Gedenktafel,52.250509,8.072718
Kein Trinkwasser Belm ,52.301975,8.140685
Kirche Maria Frieden,52.227142,8.077086
Kirschlehrpfad,52.199733,7.977648
Knollmeyers Mühle ,52.324147,8.08221
Kolping Kreuzweg,52.308095,8.14061
Komet am sportwissenschaftlichen Institute,52.268176,8.0311
Kreisel Düstrup,52.258351,8.111871
Kreisverkehr Lotte,52.272959,7.914806
Kreuz Im Esch,52.332076,8.075332
Kreuz Im Wald,52.32691,8.083812
Kreuzweg Station 1 Haste-Rulle ,52.314094,8.050369
Kreuzweg Station 3 Haste-Rulle ,52.315983,8.050593
Kreuzweg Station 7 Haste-Rulle ,52.31925,8.0517
Kreuzweg Station Lechtingen,52.322033,8.052832
Kreuzweg Station Wellenkamp,52.320124,8.052209
Kunst Am Krankenhaus,52.276818,8.005602
Kunst Stuhl,52.287401,8.05891
Kunst am Parkplatz,52.26243,8.027633
Kunstsinn,52.30119,8.048624
Lady Mural,52.302053,7.991629
Landmark 3,52.322066,8.042771
Lesen Beflügelt den Geist,52.272588,8.04572
Lichtsaeule,52.2725,8.059722
Lokomotiven Achse ,52.275168,8.070425
Lutherkirche Gerogsmarienhütte,52.203222,8.042593
Lutherkirche Osnabrück,52.260548,8.056673
Luxusliner,52.296791,8.032263
MCO Cubes,52.265449,7.976649
Makatanda,52.247556,8.074231
Marienheim Sutthausen,52.234881,8.017002
Matthäuskirche,52.29335,8.050452
Meerjungfrau,52.301138,8.071049
Megalithgrab Sloopsteine,52.321016,7.911288
Melanchthon Kirche,52.251661,8.043164
Metallbogen,52.261601,8.047936
Mich ruft der Krieg spar die Umarmungen ,52.245741,8.034394
Mittelalterlicher Landwehr,52.260129,8.017702
Moderne Kunst,52.205626,8.054993
Monumental,52.302052,8.058741
Mural an Verteilerhaus,52.298773,8.068667
Museum Industriekultur,52.31518,8.008568
Musikexpress,52.260168,8.027813
Mädchen mit Vogel,52.278904,8.04224
Mühlstein,52.197993,7.950335
Naturdenkmal,52.218194,7.969551
Nilpferdstatue,52.248881,8.075996
Oesede Bahnhof,52.208661,8.06451
Oever de Haas,52.27478,8.047959
Orange Graffiti ,52.268615,8.032563
Osnabrück Am Hasetor ,52.282718,8.042997
Osnabrück Petrusallee,52.302282,8.01239
Osnabrück en Miniature,52.277573,8.043744
Osnabrücker Turnerbund,52.269141,8.009893
Paal Presse,52.221503,8.072744
Park Portal,52.310928,8.015786
Pater Maximillian Kolbe Denkmal,52.228244,8.009591
Paul-Gerhard Kirche,52.309269,8.044538
Pauluskirche,52.280514,8.079322
Petruskirche,52.273084,8.126028
Pfarrheim St. Clemens,52.15638,8.043377
Pfarrkirsche,52.195261,7.981036
Pferd Mit Reiter,52.274591,8.009904
Piesberger Steinindustrie ,52.312597,8.004186
Pink Benz Gate,52.296001,8.035447
Playground,52.283873,7.992857
Presse ,52.254169,7.937681
Prozession ,52.337219,8.054132
Pyramide,52.29746,8.011156
Ratsgymnasium,52.270051,8.042473
Rebel,52.268294,8.065571
Reiter aus Stahl,52.296312,7.999838
Relaxing Girl ,52.26906,8.028612
Remarque Bär ,52.278889,8.037416
Renthe Fink Haus,52.287799,8.05828
Riders-Team,52.295767,7.9628610
Roboter ,52.221497,8.085233
Rosenplatzschule,52.265721,8.052127
Rostiges Ding,52.312345,8.006235
Ruller Kirche,52.3359,8.053778
SV Rasensport Sportpark,52.253667,8.046885
Samurai,52.279979,8.052681
Sankt Marien,52.199242,7.940738
Sankt Michael Kirche,52.193606,8.067494
Scaterbahn,52.313584,7.884255
Schaufelrad,52.282385,8.025591
Scheune Luhrmannhof,52.29155,8.079657
Schienenkran,52.357524,7.968548
Schäfer-Statue ,52.265577,8.051207
Seniorenzentrum Eversburg,52.297045,7.989807
Sitzen Im Bürgerpark,52.287624,8.047779
Skatepark Liebigstraße,52.280314,8.056713
Skulptur,52.198466,8.054811
Skulpture VHG,52.311473,8.134102
Small Statue,52.25739,7.995394
Solar Flowerpower,52.281797,8.024723
Soldatendenkmal - Osnabrück,52.275779,8.031171
Sonnengesicht,52.315166,7.87772
Spielen Spielen Spielen,52.301103,8.02953
Spielplatz Am Schölerberg,52.256496,8.059377
Sponge Bob,52.271544,8.035524
Sponge Bob and Patrick Star,52.300477,8.000493
Sport im Park,52.268276,8.044523
Spring Brunnen,52.207938,7.922279
Springbrunnen Oesede,52.198898,8.07033
St Angela Haste,52.301909,8.042306
St Raphael Hollage ,52.345199,7.975422
St.  Clemens ,52.146994,8.052757
St. Antonius Kirche Voxtrup,52.246693,8.107872
St. Johan Church,52.200833,8.113333
Stadion Sportfreunde Lotte ,52.271433,7.919486
Steinfeld ,52.357364,8.148684
Steinreiches Vehrte,52.339741,8.145572
Steinskulptur,52.278816,8.00431
Steinturm,52.291221,8.00126
Sternzeichen Wall Mural,52.280671,8.069597
Stolperstein Georg Klöppel ,52.25827,8.074753
Stolperstein Georg Strunk ,52.276492,8.085061
Stolperstein Gertrud Leichtentritt,52.280647,8.036579
Stolperstein Glombeck ,52.269054,8.057274
Stolperstein Henning Müller,52.275994,8.022311
Stolperstein Minna Dessauer ,52.280025,8.050068
Stolperstein Schumacher,52.254943,8.040782
Stolperstein Wilhelm Bernhard Koch,52.274437,8.076925
Stolpersteine Ermordete Der Papenhütte ,52.297039,8.017085
Stonehenge OS,52.281201,8.018125
Synagoge Osnabrück,52.272738,8.015516
Szalinski - Rehe,52.285495,8.050504
Tanja Trieb ,52.231559,8.020125
Tempora,52.348682,8.011245
Teufelssteine,52.265198,8.107804
Teutoburger Wald Landschaft,52.214918,8.078683
The Dish,52.245237,8.01337
Timotheus Kirche,52.294739,8.097116
Tinladies - Blechdamen,52.300434,8.039285
Torso ,52.303042,8.125508
Totem Circle,52.248611,8.072079
Tower,52.269116,8.00794
Trauerhalle,52.288269,8.042541
Treffpunkt Atterkirche,52.287386,7.944413
Treffpunkt Beim Euro Campingplatz,52.166799,7.980923
Two of Four Lions,52.289954,8.026521
Tür Ins Nichts,52.26974,8.055019
Uhrenmuseum Bad Iburg,52.158589,8.046695
Umweltschutz,52.290778,8.059361
Unclaimed Portal,52.301655,8.007325
Varus Malbergen ,52.222251,8.039358
Varusschlacht Masken,52.248174,8.06869
Volksbank Denkmal,52.350622,8.013558
Voxtrup Roundabout,52.25504,8.096163
WW2 Bunker,52.268512,8.038991
Wagner - Denkmal ,52.279613,8.061824
Waldbad,52.200885,8.032301
Waldhütte,52.209647,8.018267
Wall Climber,52.300975,8.059312
Wall Trees,52.271488,8.096972
Wall-Art ,52.270675,8.020431
Wandgemälde Bäuerinnen ,52.303643,8.041147
Wasserhochbehälter,52.280511,8.028903
Wasserspiele ,52.158721,8.044164
Wasserwerk Düstrup,52.258542,8.107329
Watercube,52.234034,8.014284
Watermill Belm,52.302264,8.142039
Weggetragen,52.341184,7.983214
Wegkreuz Lechtingen ,52.3327,8.039331
Wegkreuz am Jägerberg,52.20717,7.975548
Weltkriegsmahnmal,52.205436,8.041357
Wiho Kirche ,52.258983,8.000777
Windbeutel ,52.345838,7.974316
Windräder Piesberg,52.317874,8.018142
Womit Man Damals baute ,52.248867,8.034303
Young People On The Wall,52.291782,8.036567
Your LIFE,52.278415,8.040089
Zahn der Zeit,52.274634,8.024332
Zappel Frank & seine Freunde,52.221712,8.075757
Ziegelsteintreppe,52.272596,8.033003
kirche Georgsmarienhütte,52.207682,8.036451
waldbühne,52.203911,8.108359
Ökosystem Wald,52.161362,8.030101
